Burnup,k-eff,Enrichment,Gd,GD_Contents,BOC_CBC,EOC_BU
45,0.89757,3.5,8,8,1671.039371,24.359
47.5,0.88205,3.5,8,8,1671.039371,24.359
50,0.86737,3.5,8,8,1671.039371,24.359
52.5,0.85357,3.5,8,8,1671.039371,24.359
55,0.84068,3.5,8,8,1671.039371,24.359
57.5,0.82871,3.5,8,8,1671.039371,24.359
60,0.81765,3.5,8,8,1671.039371,24.359
0,1.14412,3.5,12,8,1259.658078,24.053
0.5,1.13567,3.5,12,8,1259.658078,24.053
1,1.13397,3.5,12,8,1259.658078,24.053
1.5,1.13321,3.5,12,8,1259.658078,24.053
2,1.13245,3.5,12,8,1259.658078,24.053
2.5,1.13159,3.5,12,8,1259.658078,24.053
3,1.13084,3.5,12,8,1259.658078,24.053
3.5,1.12996,3.5,12,8,1259.658078,24.053
4,1.12917,3.5,12,8,1259.658078,24.053
4.5,1.12836,3.5,12,8,1259.658078,24.053
5,1.12804,3.5,12,8,1259.658078,24.053
5.5,1.12771,3.5,12,8,1259.658078,24.053
6,1.12763,3.5,12,8,1259.658078,24.053
6.5,1.12775,3.5,12,8,1259.658078,24.053
7,1.12814,3.5,12,8,1259.658078,24.053
7.5,1.12883,3.5,12,8,1259.658078,24.053
8,1.12972,3.5,12,8,1259.658078,24.053
8.5,1.13099,3.5,12,8,1259.658078,24.053
9,1.13228,3.5,12,8,1259.658078,24.053
9.5,1.13372,3.5,12,8,1259.658078,24.053
10,1.1354,3.5,12,8,1259.658078,24.053
10.5,1.13727,3.5,12,8,1259.658078,24.053
11,1.1392,3.5,12,8,1259.658078,24.053
11.5,1.14101,3.5,12,8,1259.658078,24.053
12,1.14235,3.5,12,8,1259.658078,24.053
12.5,1.14289,3.5,12,8,1259.658078,24.053
13,1.14248,3.5,12,8,1259.658078,24.053
13.5,1.14106,3.5,12,8,1259.658078,24.053
14,1.13854,3.5,12,8,1259.658078,24.053
14.5,1.13514,3.5,12,8,1259.658078,24.053
15,1.13122,3.5,12,8,1259.658078,24.053
17.5,1.10881,3.5,12,8,1259.658078,24.053
20,1.08633,3.5,12,8,1259.658078,24.053
22.5,1.06462,3.5,12,8,1259.658078,24.053
25,1.0435,3.5,12,8,1259.658078,24.053
27.5,1.02294,3.5,12,8,1259.658078,24.053
30,1.00291,3.5,12,8,1259.658078,24.053
32.5,0.98344,3.5,12,8,1259.658078,24.053
35,0.96452,3.5,12,8,1259.658078,24.053
37.5,0.94618,3.5,12,8,1259.658078,24.053
40,0.92848,3.5,12,8,1259.658078,24.053
42.5,0.91146,3.5,12,8,1259.658078,24.053
45,0.89518,3.5,12,8,1259.658078,24.053
47.5,0.87971,3.5,12,8,1259.658078,24.053
50,0.86507,3.5,12,8,1259.658078,24.053
52.5,0.85134,3.5,12,8,1259.658078,24.053
55,0.8385,3.5,12,8,1259.658078,24.053
57.5,0.82661,3.5,12,8,1259.658078,24.053
60,0.81562,3.5,12,8,1259.658078,24.053
0,1.09331,3.5,16,8,853.4633361,23.716
0.5,1.08633,3.5,16,8,853.4633361,23.716
1,1.08616,3.5,16,8,853.4633361,23.716
1.5,1.08686,3.5,16,8,853.4633361,23.716
2,1.08756,3.5,16,8,853.4633361,23.716
2.5,1.08819,3.5,16,8,853.4633361,23.716
3,1.08896,3.5,16,8,853.4633361,23.716
3.5,1.08962,3.5,16,8,853.4633361,23.716
4,1.09043,3.5,16,8,853.4633361,23.716
4.5,1.09125,3.5,16,8,853.4633361,23.716
5,1.09249,3.5,16,8,853.4633361,23.716
5.5,1.09387,3.5,16,8,853.4633361,23.716
6,1.09552,3.5,16,8,853.4633361,23.716
6.5,1.09731,3.5,16,8,853.4633361,23.716
7,1.09949,3.5,16,8,853.4633361,23.716
7.5,1.10207,3.5,16,8,853.4633361,23.716
8,1.10482,3.5,16,8,853.4633361,23.716
8.5,1.1081,3.5,16,8,853.4633361,23.716
9,1.1113,3.5,16,8,853.4633361,23.716
9.5,1.11459,3.5,16,8,853.4633361,23.716
10,1.1183,3.5,16,8,853.4633361,23.716
10.5,1.12219,3.5,16,8,853.4633361,23.716
11,1.12616,3.5,16,8,853.4633361,23.716
11.5,1.13,3.5,16,8,853.4633361,23.716
12,1.13331,3.5,16,8,853.4633361,23.716
12.5,1.13552,3.5,16,8,853.4633361,23.716
13,1.1365,3.5,16,8,853.4633361,23.716
13.5,1.13612,3.5,16,8,853.4633361,23.716
14,1.13447,3.5,16,8,853.4633361,23.716
14.5,1.13162,3.5,16,8,853.4633361,23.716
15,1.1279,3.5,16,8,853.4633361,23.716
17.5,1.10585,3.5,16,8,853.4633361,23.716
20,1.08342,3.5,16,8,853.4633361,23.716
22.5,1.06176,3.5,16,8,853.4633361,23.716
25,1.04067,3.5,16,8,853.4633361,23.716
27.5,1.02015,3.5,16,8,853.4633361,23.716
30,1.00016,3.5,16,8,853.4633361,23.716
32.5,0.98073,3.5,16,8,853.4633361,23.716
35,0.96184,3.5,16,8,853.4633361,23.716
37.5,0.94357,3.5,16,8,853.4633361,23.716
40,0.9259,3.5,16,8,853.4633361,23.716
42.5,0.90893,3.5,16,8,853.4633361,23.716
45,0.8927,3.5,16,8,853.4633361,23.716
47.5,0.87728,3.5,16,8,853.4633361,23.716
50,0.8627,3.5,16,8,853.4633361,23.716
52.5,0.84903,3.5,16,8,853.4633361,23.716
55,0.83626,3.5,16,8,853.4633361,23.716
57.5,0.82444,3.5,16,8,853.4633361,23.716
60,0.8135,3.5,16,8,853.4633361,23.716
0,1.04214,3.5,20,8,404.3602587,23.364
0.5,1.03677,3.5,20,8,404.3602587,23.364
1,1.03826,3.5,20,8,404.3602587,23.364
1.5,1.04052,3.5,20,8,404.3602587,23.364
2,1.04277,3.5,20,8,404.3602587,23.364
2.5,1.04497,3.5,20,8,404.3602587,23.364
3,1.0474,3.5,20,8,404.3602587,23.364
3.5,1.04969,3.5,20,8,404.3602587,23.364
4,1.05216,3.5,20,8,404.3602587,23.364
4.5,1.05465,3.5,20,8,404.3602587,23.364
5,1.05784,3.5,20,8,404.3602587,23.364
5.5,1.06099,3.5,20,8,404.3602587,23.364
6,1.06461,3.5,20,8,404.3602587,23.364
6.5,1.06829,3.5,20,8,404.3602587,23.364
7,1.07265,3.5,20,8,404.3602587,23.364
7.5,1.07713,3.5,20,8,404.3602587,23.364
8,1.08229,3.5,20,8,404.3602587,23.364
8.5,1.08753,3.5,20,8,404.3602587,23.364
9,1.09293,3.5,20,8,404.3602587,23.364
9.5,1.09854,3.5,20,8,404.3602587,23.364
10,1.10459,3.5,20,8,404.3602587,23.364
10.5,1.11078,3.5,20,8,404.3602587,23.364
11,1.11707,3.5,20,8,404.3602587,23.364
11.5,1.1229,3.5,20,8,404.3602587,23.364
12,1.12775,3.5,20,8,404.3602587,23.364
12.5,1.13114,3.5,20,8,404.3602587,23.364
13,1.13295,3.5,20,8,404.3602587,23.364
13.5,1.13293,3.5,20,8,404.3602587,23.364
14,1.13133,3.5,20,8,404.3602587,23.364
14.5,1.12853,3.5,20,8,404.3602587,23.364
15,1.12486,3.5,20,8,404.3602587,23.364
17.5,1.10276,3.5,20,8,404.3602587,23.364
20,1.08038,3.5,20,8,404.3602587,23.364
22.5,1.05877,3.5,20,8,404.3602587,23.364
25,1.03773,3.5,20,8,404.3602587,23.364
27.5,1.01724,3.5,20,8,404.3602587,23.364
30,0.9973,3.5,20,8,404.3602587,23.364
32.5,0.97792,3.5,20,8,404.3602587,23.364
35,0.95908,3.5,20,8,404.3602587,23.364
37.5,0.94085,3.5,20,8,404.3602587,23.364
40,0.92324,3.5,20,8,404.3602587,23.364
42.5,0.90632,3.5,20,8,404.3602587,23.364
45,0.89016,3.5,20,8,404.3602587,23.364
47.5,0.8748,3.5,20,8,404.3602587,23.364
50,0.86029,3.5,20,8,404.3602587,23.364
52.5,0.84669,3.5,20,8,404.3602587,23.364
55,0.83399,3.5,20,8,404.3602587,23.364
57.5,0.82224,3.5,20,8,404.3602587,23.364
60,0.81137,3.5,20,8,404.3602587,23.364
0,0.9939,3.5,24,8,-61.37438374,23.019
0.5,0.9901,3.5,24,8,-61.37438374,23.019
1,0.99318,3.5,24,8,-61.37438374,23.019
1.5,0.997,3.5,24,8,-61.37438374,23.019
2,1.00076,3.5,24,8,-61.37438374,23.019
2.5,1.00451,3.5,24,8,-61.37438374,23.019
3,1.00856,3.5,24,8,-61.37438374,23.019
3.5,1.01249,3.5,24,8,-61.37438374,23.019
4,1.01637,3.5,24,8,-61.37438374,23.019
4.5,1.02078,3.5,24,8,-61.37438374,23.019
5,1.02578,3.5,24,8,-61.37438374,23.019
5.5,1.03061,3.5,24,8,-61.37438374,23.019
6,1.03606,3.5,24,8,-61.37438374,23.019
6.5,1.04157,3.5,24,8,-61.37438374,23.019
7,1.04792,3.5,24,8,-61.37438374,23.019
7.5,1.05421,3.5,24,8,-61.37438374,23.019
8,1.06156,3.5,24,8,-61.37438374,23.019
8.5,1.06865,3.5,24,8,-61.37438374,23.019
9,1.07599,3.5,24,8,-61.37438374,23.019
9.5,1.08373,3.5,24,8,-61.37438374,23.019
10,1.09185,3.5,24,8,-61.37438374,23.019
10.5,1.10007,3.5,24,8,-61.37438374,23.019
11,1.10833,3.5,24,8,-61.37438374,23.019
11.5,1.11583,3.5,24,8,-61.37438374,23.019
12,1.12201,3.5,24,8,-61.37438374,23.019
12.5,1.12649,3.5,24,8,-61.37438374,23.019
13,1.12901,3.5,24,8,-61.37438374,23.019
13.5,1.12942,3.5,24,8,-61.37438374,23.019
14,1.12802,3.5,24,8,-61.37438374,23.019
14.5,1.12538,3.5,24,8,-61.37438374,23.019
15,1.12178,3.5,24,8,-61.37438374,23.019
17.5,1.09975,3.5,24,8,-61.37438374,23.019
20,1.07742,3.5,24,8,-61.37438374,23.019
22.5,1.05586,3.5,24,8,-61.37438374,23.019
25,1.03485,3.5,24,8,-61.37438374,23.019
27.5,1.01441,3.5,24,8,-61.37438374,23.019
30,0.9945,3.5,24,8,-61.37438374,23.019
32.5,0.97517,3.5,24,8,-61.37438374,23.019
35,0.95637,3.5,24,8,-61.37438374,23.019
37.5,0.93818,3.5,24,8,-61.37438374,23.019
40,0.92063,3.5,24,8,-61.37438374,23.019
42.5,0.90377,3.5,24,8,-61.37438374,23.019
45,0.88767,3.5,24,8,-61.37438374,23.019
47.5,0.87237,3.5,24,8,-61.37438374,23.019
50,0.85793,3.5,24,8,-61.37438374,23.019
52.5,0.84439,3.5,24,8,-61.37438374,23.019
55,0.83176,3.5,24,8,-61.37438374,23.019
57.5,0.82007,3.5,24,8,-61.37438374,23.019
60,0.80927,3.5,24,8,-61.37438374,23.019
0,1.34468,4,0,8,2563.286432,29.423
0.5,1.33174,4,0,8,2563.286432,29.423
1,1.32446,4,0,8,2563.286432,29.423
1.5,1.31881,4,0,8,2563.286432,29.423
2,1.31334,4,0,8,2563.286432,29.423
2.5,1.30777,4,0,8,2563.286432,29.423
3,1.3021,4,0,8,2563.286432,29.423
3.5,1.29634,4,0,8,2563.286432,29.423
4,1.29053,4,0,8,2563.286432,29.423
4.5,1.28469,4,0,8,2563.286432,29.423
5,1.27886,4,0,8,2563.286432,29.423
5.5,1.27304,4,0,8,2563.286432,29.423
6,1.26727,4,0,8,2563.286432,29.423
6.5,1.26154,4,0,8,2563.286432,29.423
7,1.25588,4,0,8,2563.286432,29.423
7.5,1.2503,4,0,8,2563.286432,29.423
8,1.24477,4,0,8,2563.286432,29.423
8.5,1.2393,4,0,8,2563.286432,29.423
9,1.2339,4,0,8,2563.286432,29.423
9.5,1.22856,4,0,8,2563.286432,29.423
10,1.22328,4,0,8,2563.286432,29.423
10.5,1.21807,4,0,8,2563.286432,29.423
11,1.21292,4,0,8,2563.286432,29.423
11.5,1.20783,4,0,8,2563.286432,29.423
12,1.2028,4,0,8,2563.286432,29.423
12.5,1.19783,4,0,8,2563.286432,29.423
13,1.19291,4,0,8,2563.286432,29.423
13.5,1.18805,4,0,8,2563.286432,29.423
14,1.18323,4,0,8,2563.286432,29.423
14.5,1.17847,4,0,8,2563.286432,29.423
15,1.17376,4,0,8,2563.286432,29.423
17.5,1.15085,4,0,8,2563.286432,29.423
20,1.12885,4,0,8,2563.286432,29.423
22.5,1.10758,4,0,8,2563.286432,29.423
25,1.08689,4,0,8,2563.286432,29.423
27.5,1.0667,4,0,8,2563.286432,29.423
30,1.04694,4,0,8,2563.286432,29.423
32.5,1.02755,4,0,8,2563.286432,29.423
35,1.00852,4,0,8,2563.286432,29.423
37.5,0.98991,4,0,8,2563.286432,29.423
40,0.97173,4,0,8,2563.286432,29.423
42.5,0.95401,4,0,8,2563.286432,29.423
45,0.9368,4,0,8,2563.286432,29.423
47.5,0.92014,4,0,8,2563.286432,29.423
50,0.90408,4,0,8,2563.286432,29.423
52.5,0.88869,4,0,8,2563.286432,29.423
55,0.87402,4,0,8,2563.286432,29.423
57.5,0.86011,4,0,8,2563.286432,29.423
60,0.847,4,0,8,2563.286432,29.423
0,1.28665,4,4,8,2227.878599,28.998
0.5,1.27508,4,4,8,2227.878599,28.998
1,1.26938,4,4,8,2227.878599,28.998
1.5,1.26516,4,4,8,2227.878599,28.998
2,1.2611,4,4,8,2227.878599,28.998
2.5,1.25696,4,4,8,2227.878599,28.998
3,1.25279,4,4,8,2227.878599,28.998
3.5,1.24851,4,4,8,2227.878599,28.998
4,1.24422,4,4,8,2227.878599,28.998
4.5,1.23995,4,4,8,2227.878599,28.998
5,1.23571,4,4,8,2227.878599,28.998
5.5,1.23157,4,4,8,2227.878599,28.998
6,1.22753,4,4,8,2227.878599,28.998
6.5,1.22352,4,4,8,2227.878599,28.998
7,1.2197,4,4,8,2227.878599,28.998
7.5,1.21592,4,4,8,2227.878599,28.998
8,1.2123,4,4,8,2227.878599,28.998
8.5,1.20881,4,4,8,2227.878599,28.998
9,1.2054,4,4,8,2227.878599,28.998
9.5,1.20218,4,4,8,2227.878599,28.998
10,1.19896,4,4,8,2227.878599,28.998
10.5,1.19582,4,4,8,2227.878599,28.998
11,1.19283,4,4,8,2227.878599,28.998
11.5,1.18992,4,4,8,2227.878599,28.998
12,1.18709,4,4,8,2227.878599,28.998
12.5,1.1843,4,4,8,2227.878599,28.998
13,1.18151,4,4,8,2227.878599,28.998
13.5,1.17858,4,4,8,2227.878599,28.998
14,1.17545,4,4,8,2227.878599,28.998
14.5,1.17206,4,4,8,2227.878599,28.998
15,1.16839,4,4,8,2227.878599,28.998
17.5,1.14734,4,4,8,2227.878599,28.998
20,1.12539,4,4,8,2227.878599,28.998
22.5,1.10415,4,4,8,2227.878599,28.998
25,1.0835,4,4,8,2227.878599,28.998
27.5,1.06333,4,4,8,2227.878599,28.998
30,1.04359,4,4,8,2227.878599,28.998
32.5,1.02424,4,4,8,2227.878599,28.998
35,1.00524,4,4,8,2227.878599,28.998
37.5,0.98666,4,4,8,2227.878599,28.998
40,0.96853,4,4,8,2227.878599,28.998
42.5,0.95086,4,4,8,2227.878599,28.998
45,0.9337,4,4,8,2227.878599,28.998
47.5,0.91709,4,4,8,2227.878599,28.998
50,0.9011,4,4,8,2227.878599,28.998
52.5,0.88578,4,4,8,2227.878599,28.998
55,0.87118,4,4,8,2227.878599,28.998
57.5,0.85735,4,4,8,2227.878599,28.998
60,0.84433,4,4,8,2227.878599,28.998
0,1.23223,4,8,8,1884.631927,28.534
0.5,1.22179,4,8,8,1884.631927,28.534
1,1.21736,4,8,8,1884.631927,28.534
1.5,1.21432,4,8,8,1884.631927,28.534
2,1.21142,4,8,8,1884.631927,28.534
2.5,1.20848,4,8,8,1884.631927,28.534
3,1.20557,4,8,8,1884.631927,28.534
3.5,1.20257,4,8,8,1884.631927,28.534
4,1.19961,4,8,8,1884.631927,28.534
4.5,1.19673,4,8,8,1884.631927,28.534
5,1.19389,4,8,8,1884.631927,28.534
5.5,1.19127,4,8,8,1884.631927,28.534
6,1.18876,4,8,8,1884.631927,28.534
6.5,1.18642,4,8,8,1884.631927,28.534
7,1.18429,4,8,8,1884.631927,28.534
7.5,1.18228,4,8,8,1884.631927,28.534
8,1.18061,4,8,8,1884.631927,28.534
8.5,1.17899,4,8,8,1884.631927,28.534
9,1.1778,4,8,8,1884.631927,28.534
9.5,1.17664,4,8,8,1884.631927,28.534
10,1.17568,4,8,8,1884.631927,28.534
10.5,1.17486,4,8,8,1884.631927,28.534
11,1.17432,4,8,8,1884.631927,28.534
11.5,1.17394,4,8,8,1884.631927,28.534
12,1.17369,4,8,8,1884.631927,28.534
12.5,1.1734,4,8,8,1884.631927,28.534
13,1.17282,4,8,8,1884.631927,28.534
13.5,1.17174,4,8,8,1884.631927,28.534
14,1.16998,4,8,8,1884.631927,28.534
14.5,1.16746,4,8,8,1884.631927,28.534
15,1.16426,4,8,8,1884.631927,28.534
17.5,1.14343,4,8,8,1884.631927,28.534
20,1.12154,4,8,8,1884.631927,28.534
22.5,1.10037,4,8,8,1884.631927,28.534
25,1.07976,4,8,8,1884.631927,28.534
27.5,1.05964,4,8,8,1884.631927,28.534
30,1.03995,4,8,8,1884.631927,28.534
32.5,1.02065,4,8,8,1884.631927,28.534
35,1.00171,4,8,8,1884.631927,28.534
37.5,0.9832,4,8,8,1884.631927,28.534
40,0.96513,4,8,8,1884.631927,28.534
42.5,0.94753,4,8,8,1884.631927,28.534
45,0.93044,4,8,8,1884.631927,28.534
47.5,0.91391,4,8,8,1884.631927,28.534
50,0.898,4,8,8,1884.631927,28.534
52.5,0.88277,4,8,8,1884.631927,28.534
55,0.86827,4,8,8,1884.631927,28.534
57.5,0.85453,4,8,8,1884.631927,28.534
60,0.84161,4,8,8,1884.631927,28.534
0,1.17987,4,12,8,1524.489986,28.161
0.5,1.17104,4,12,8,1524.489986,28.161
1,1.16834,4,12,8,1524.489986,28.161
1.5,1.16688,4,12,8,1524.489986,28.161
2,1.16554,4,12,8,1524.489986,28.161
2.5,1.16413,4,12,8,1524.489986,28.161
3,1.1628,4,12,8,1524.489986,28.161
3.5,1.16134,4,12,8,1524.489986,28.161
4,1.15994,4,12,8,1524.489986,28.161
4.5,1.1586,4,12,8,1524.489986,28.161
5,1.15736,4,12,8,1524.489986,28.161
5.5,1.15634,4,12,8,1524.489986,28.161
6,1.15547,4,12,8,1524.489986,28.161
6.5,1.1547,4,12,8,1524.489986,28.161
7,1.1542,4,12,8,1524.489986,28.161
7.5,1.15377,4,12,8,1524.489986,28.161
8,1.15364,4,12,8,1524.489986,28.161
8.5,1.15367,4,12,8,1524.489986,28.161
9,1.15392,4,12,8,1524.489986,28.161
9.5,1.15445,4,12,8,1524.489986,28.161
10,1.15493,4,12,8,1524.489986,28.161
10.5,1.15558,4,12,8,1524.489986,28.161
11,1.15639,4,12,8,1524.489986,28.161
11.5,1.15737,4,12,8,1524.489986,28.161
12,1.15843,4,12,8,1524.489986,28.161
12.5,1.15944,4,12,8,1524.489986,28.161
13,1.16032,4,12,8,1524.489986,28.161
13.5,1.16075,4,12,8,1524.489986,28.161
14,1.16052,4,12,8,1524.489986,28.161
14.5,1.15957,4,12,8,1524.489986,28.161
15,1.1579,4,12,8,1524.489986,28.161
17.5,1.14047,4,12,8,1524.489986,28.161
20,1.11862,4,12,8,1524.489986,28.161
22.5,1.09744,4,12,8,1524.489986,28.161
25,1.07684,4,12,8,1524.489986,28.161
27.5,1.05671,4,12,8,1524.489986,28.161
30,1.03701,4,12,8,1524.489986,28.161
32.5,1.01771,4,12,8,1524.489986,28.161
35,0.99877,4,12,8,1524.489986,28.161
37.5,0.98025,4,12,8,1524.489986,28.161
40,0.9622,4,12,8,1524.489986,28.161
42.5,0.94461,4,12,8,1524.489986,28.161
45,0.92755,4,12,8,1524.489986,28.161
47.5,0.91106,4,12,8,1524.489986,28.161
50,0.89519,4,12,8,1524.489986,28.161
52.5,0.88001,4,12,8,1524.489986,28.161
55,0.86557,4,12,8,1524.489986,28.161
57.5,0.85191,4,12,8,1524.489986,28.161
60,0.83906,4,12,8,1524.489986,28.161
0,1.13153,4,16,8,1162.40842,27.754
0.5,1.12394,4,16,8,1162.40842,27.754
1,1.12257,4,16,8,1162.40842,27.754
1.5,1.12236,4,16,8,1162.40842,27.754
2,1.12224,4,16,8,1162.40842,27.754
2.5,1.12208,4,16,8,1162.40842,27.754
3,1.12203,4,16,8,1162.40842,27.754
3.5,1.12186,4,16,8,1162.40842,27.754
4,1.12174,4,16,8,1162.40842,27.754
4.5,1.12178,4,16,8,1162.40842,27.754
5,1.12182,4,16,8,1162.40842,27.754
5.5,1.12222,4,16,8,1162.40842,27.754
6,1.12275,4,16,8,1162.40842,27.754
6.5,1.12339,4,16,8,1162.40842,27.754
7,1.1244,4,16,8,1162.40842,27.754
7.5,1.1254,4,16,8,1162.40842,27.754
8,1.12687,4,16,8,1162.40842,27.754
8.5,1.12843,4,16,8,1162.40842,27.754
9,1.13032,4,16,8,1162.40842,27.754
9.5,1.13247,4,16,8,1162.40842,27.754
10,1.13458,4,16,8,1162.40842,27.754
10.5,1.13676,4,16,8,1162.40842,27.754
11,1.13929,4,16,8,1162.40842,27.754
11.5,1.14196,4,16,8,1162.40842,27.754
12,1.14471,4,16,8,1162.40842,27.754
12.5,1.14748,4,16,8,1162.40842,27.754
13,1.15007,4,16,8,1162.40842,27.754
13.5,1.15206,4,16,8,1162.40842,27.754
14,1.15325,4,16,8,1162.40842,27.754
14.5,1.15347,4,16,8,1162.40842,27.754
15,1.15269,4,16,8,1162.40842,27.754
17.5,1.13712,4,16,8,1162.40842,27.754
20,1.11533,4,16,8,1162.40842,27.754
22.5,1.09417,4,16,8,1162.40842,27.754
25,1.07361,4,16,8,1162.40842,27.754
27.5,1.0535,4,16,8,1162.40842,27.754
30,1.03382,4,16,8,1162.40842,27.754
32.5,1.01453,4,16,8,1162.40842,27.754
35,0.99563,4,16,8,1162.40842,27.754
37.5,0.97715,4,16,8,1162.40842,27.754
40,0.95912,4,16,8,1162.40842,27.754
42.5,0.94157,4,16,8,1162.40842,27.754
45,0.92455,4,16,8,1162.40842,27.754
47.5,0.90811,4,16,8,1162.40842,27.754
50,0.8923,4,16,8,1162.40842,27.754
52.5,0.87719,4,16,8,1162.40842,27.754
55,0.86281,4,16,8,1162.40842,27.754
57.5,0.84922,4,16,8,1162.40842,27.754
60,0.83645,4,16,8,1162.40842,27.754
0,1.08223,4,20,8,759.8200013,27.331
0.5,1.076,4,20,8,759.8200013,27.331
1,1.0761,4,20,8,759.8200013,27.331
1.5,1.07723,4,20,8,759.8200013,27.331
2,1.07845,4,20,8,759.8200013,27.331
2.5,1.07962,4,20,8,759.8200013,27.331
3,1.08099,4,20,8,759.8200013,27.331
3.5,1.08219,4,20,8,759.8200013,27.331
4,1.08355,4,20,8,759.8200013,27.331
4.5,1.08498,4,20,8,759.8200013,27.331
5,1.08661,4,20,8,759.8200013,27.331
5.5,1.08859,4,20,8,759.8200013,27.331
6,1.09065,4,20,8,759.8200013,27.331
6.5,1.09301,4,20,8,759.8200013,27.331
7,1.0956,4,20,8,759.8200013,27.331
7.5,1.09834,4,20,8,759.8200013,27.331
8,1.10166,4,20,8,759.8200013,27.331
8.5,1.10486,4,20,8,759.8200013,27.331
9,1.10891,4,20,8,759.8200013,27.331
9.5,1.1127,4,20,8,759.8200013,27.331
10,1.11676,4,20,8,759.8200013,27.331
10.5,1.1209,4,20,8,759.8200013,27.331
11,1.12541,4,20,8,759.8200013,27.331
11.5,1.13006,4,20,8,759.8200013,27.331
12,1.13474,4,20,8,759.8200013,27.331
12.5,1.13941,4,20,8,759.8200013,27.331
13,1.14357,4,20,8,759.8200013,27.331
13.5,1.14677,4,20,8,759.8200013,27.331
14,1.14889,4,20,8,759.8200013,27.331
14.5,1.14975,4,20,8,759.8200013,27.331
15,1.14924,4,20,8,759.8200013,27.331
17.5,1.13362,4,20,8,759.8200013,27.331
20,1.11187,4,20,8,759.8200013,27.331
22.5,1.09076,4,20,8,759.8200013,27.331
25,1.07022,4,20,8,759.8200013,27.331
27.5,1.05014,4,20,8,759.8200013,27.331
30,1.03049,4,20,8,759.8200013,27.331
32.5,1.01123,4,20,8,759.8200013,27.331
35,0.99236,4,20,8,759.8200013,27.331
37.5,0.97392,4,20,8,759.8200013,27.331
40,0.95593,4,20,8,759.8200013,27.331
42.5,0.93843,4,20,8,759.8200013,27.331
45,0.92147,4,20,8,759.8200013,27.331
47.5,0.90509,4,20,8,759.8200013,27.331
50,0.88935,4,20,8,759.8200013,27.331
52.5,0.8743,4,20,8,759.8200013,27.331
55,0.86001,4,20,8,759.8200013,27.331
57.5,0.8465,4,20,8,759.8200013,27.331
60,0.83382,4,20,8,759.8200013,27.331
0,1.03575,4,24,8,345.1605117,26.923
0.5,1.03088,4,24,8,345.1605117,26.923
1,1.03237,4,24,8,345.1605117,26.923
1.5,1.03481,4,24,8,345.1605117,26.923
2,1.03736,4,24,8,345.1605117,26.923
2.5,1.03984,4,24,8,345.1605117,26.923
3,1.04259,4,24,8,345.1605117,26.923
3.5,1.04516,4,24,8,345.1605117,26.923
4,1.04791,4,24,8,345.1605117,26.923
4.5,1.05072,4,24,8,345.1605117,26.923
5,1.05386,4,24,8,345.1605117,26.923
5.5,1.05735,4,24,8,345.1605117,26.923
6,1.06085,4,24,8,345.1605117,26.923
6.5,1.06485,4,24,8,345.1605117,26.923
7,1.06889,4,24,8,345.1605117,26.923
7.5,1.07336,4,24,8,345.1605117,26.923
8,1.07825,4,24,8,345.1605117,26.923
8.5,1.0832,4,24,8,345.1605117,26.923
9,1.08892,4,24,8,345.1605117,26.923
9.5,1.09439,4,24,8,345.1605117,26.923
10,1.10008,4,24,8,345.1605117,26.923
10.5,1.10604,4,24,8,345.1605117,26.923
11,1.11231,4,24,8,345.1605117,26.923
11.5,1.11872,4,24,8,345.1605117,26.923
12,1.12512,4,24,8,345.1605117,26.923
12.5,1.13136,4,24,8,345.1605117,26.923
13,1.13684,4,24,8,345.1605117,26.923
13.5,1.14111,4,24,8,345.1605117,26.923
14,1.14409,4,24,8,345.1605117,26.923
14.5,1.1456,4,24,8,345.1605117,26.923
15,1.14544,4,24,8,345.1605117,26.923
17.5,1.13021,4,24,8,345.1605117,26.923
20,1.10851,4,24,8,345.1605117,26.923
22.5,1.08743,4,24,8,345.1605117,26.923
25,1.06693,4,24,8,345.1605117,26.923
27.5,1.04687,4,24,8,345.1605117,26.923
30,1.02724,4,24,8,345.1605117,26.923
32.5,1.008,4,24,8,345.1605117,26.923
35,0.98917,4,24,8,345.1605117,26.923
37.5,0.97076,4,24,8,345.1605117,26.923
40,0.95281,4,24,8,345.1605117,26.923
42.5,0.93536,4,24,8,345.1605117,26.923
45,0.91844,4,24,8,345.1605117,26.923
47.5,0.90212,4,24,8,345.1605117,26.923
50,0.88644,4,24,8,345.1605117,26.923
52.5,0.87147,4,24,8,345.1605117,26.923
55,0.85725,4,24,8,345.1605117,26.923
57.5,0.84383,4,24,8,345.1605117,26.923
60,0.83122,4,24,8,345.1605117,26.923
